year,month,brl_usd_price,date,oil_price,conflict
1995,1,0.8460909090909091,1995-01-01,16.551904761904762,1
1995,2,0.8411500000000001,1995-02-01,17.1145,1
1995,3,0.8905217391304348,1995-03-01,17.006521739130434,1
1995,4,0.9074,1995-04-01,18.648333333333333,1
1995,5,0.8975000000000001,1995-05-01,18.35090909090909,1
1995,6,0.9137272727272727,1995-06-01,17.312727272727273,1
1995,7,0.928825,1995-07-01,15.854285714285714,1
1995,8,0.9412608695652175,1995-08-01,16.096363636363638,1
1995,9,0.951915,1995-09-01,16.69952380952381,1
1995,10,0.9592761904761905,1995-10-01,16.11090909090909,1
1995,11,0.9630000000000001,1995-11-01,16.86090909090909,1
1995,12,0.9675764705882353,1995-12-01,17.925263157894737,1
1996,1,0.9745238095238096,1996-01-01,17.853181818181817,1
1996,2,0.9809599999999999,1996-02-01,17.99904761904762,1
1996,3,0.986175,1996-03-01,19.851904761904763,1
1996,4,0.9897818181818181,1996-04-01,20.9005,1
1996,5,0.9950318181818182,1996-05-01,19.154761904761905,1
1996,6,1.0013299999999998,1996-06-01,18.4565,1
1996,7,1.0069000000000001,1996-07-01,19.57086956521739,1
1996,8,1.014690909090909,1996-08-01,20.51238095238095,1
1996,9,1.019425,1996-09-01,22.63047619047619,1
1996,10,1.02535,1996-10-01,24.162608695652175,1
1996,11,1.0303736842105264,1996-11-01,22.75952380952381,1
1996,12,1.0371714285714286,1996-12-01,23.782999999999998,1
1997,1,1.042552380952381,1997-01-01,23.53761904761905,1
1997,2,1.0487894736842105,1997-02-01,20.850526315789473,1
1997,3,1.0570047619047618,1997-03-01,19.133000000000003,1
1997,4,1.0610045454545454,1997-04-01,17.555909090909093,1
1997,5,1.068,1997-05-01,19.022857142857145,1
1997,6,1.0746142857142857,1997-06-01,17.580000000000002,1
1997,7,1.0804772727272727,1997-07-01,18.4645,1
1997,8,1.0878619047619047,1997-08-01,18.595499999999998,1
1997,9,1.093547619047619,1997-09-01,18.46095238095238,1
1997,10,1.0998954545454547,1997-10-01,19.86521739130435,1
1997,11,1.1072444444444445,1997-11-01,19.17421052631579,1
1997,12,1.1136272727272727,1997-12-01,17.18190476190476,1
1998,1,1.119865,1998-01-01,15.186666666666667,1
1998,2,1.1273,1998-02-01,14.0695,1
1998,3,1.1334318181818182,1998-03-01,13.103181818181817,1
1998,4,1.1409136363636365,1998-04-01,13.526500000000002,1
1998,5,1.147495,1998-05-01,14.36315789473684,1
1998,6,1.1543363636363637,1998-06-01,12.206363636363637,1
1998,7,1.1613739130434784,1998-07-01,12.079565217391304,1
1998,8,1.1716666666666666,1998-08-01,11.914,1
1998,9,1.1805428571428571,1998-09-01,13.343636363636364,1
1998,10,1.188895238095238,1998-10-01,12.702272727272726,1
